YEAR,HEIGHTM,TOTMEMBERS,success,O2USED,HOST_FACTOR,has_deaths
2020,8849,0,1,1,China,0
2020,8849,12,1,1,China,0
2020,8849,20,1,1,China,0
2020,6814,14,1,0,Nepal,0
2020,6814,6,1,0,Nepal,0
2020,6814,2,1,0,Nepal,0
2020,6814,4,0,0,Nepal,0
2020,6814,1,1,0,Nepal,0
2020,6814,1,0,0,Nepal,0
2020,6814,6,1,0,Nepal,0
2020,6814,7,1,0,Nepal,0
2020,7152,7,1,0,Nepal,0
2020,8188,20,1,1,China,0
2020,6151,3,1,0,Nepal,0
2020,7126,5,0,0,Nepal,0
2020,7126,1,1,0,Nepal,0
2020,6506,1,1,0,Nepal,0
2020,5710,3,1,0,Nepal,0
2020,8163,18,1,1,Nepal,0
2020,8163,3,0,0,Nepal,0
2020,8163,2,0,0,Nepal,0
2021,6814,16,1,0,Nepal,0
2021,6814,12,1,0,Nepal,0
2021,6814,2,1,0,Nepal,0
2021,8091,17,1,1,Nepal,0
2021,8091,7,1,1,Nepal,0
2021,8091,3,1,1,Nepal,0
2021,8091,8,1,1,Nepal,0
2021,8091,10,1,1,Nepal,0
2021,8091,4,1,1,Nepal,0
2021,8091,5,0,0,Nepal,0
2021,7152,6,0,0,Nepal,0
2021,7152,3,0,0,Nepal,0
2021,7152,2,0,0,Nepal,0
2021,7152,1,0,0,Nepal,0
2021,7152,3,1,0,Nepal,0
2021,8167,4,0,0,Nepal,0
2021,8167,3,0,0,Nepal,0
2021,8167,10,0,0,Nepal,0
2021,8167,3,0,0,Nepal,0
2021,8167,23,0,0,Nepal,0
2021,8167,2,0,0,Nepal,0
2021,8849,0,1,1,Nepal,0
2021,8849,14,1,1,Nepal,0
2021,8849,7,1,1,Nepal,0
2021,8849,22,1,1,Nepal,0
2021,8849,2,1,1,Nepal,0
2021,8849,3,1,1,Nepal,0
2021,8849,2,0,0,Nepal,0
2021,8849,20,1,1,Nepal,0
2021,8849,35,1,1,Nepal,0
2021,8849,8,0,1,Nepal,0
2021,8849,2,1,1,Nepal,0
2021,8849,15,1,1,Nepal,0
2021,8849,8,1,1,Nepal,0
2021,8849,3,1,1,Nepal,0
2021,8849,2,1,1,Nepal,0
2021,8849,1,0,1,Nepal,0
2021,8849,10,0,0,Nepal,0
2021,8849,9,0,0,Nepal,0
2021,8849,16,1,1,Nepal,0
2021,8849,5,1,1,Nepal,0
2021,8849,5,1,1,Nepal,0
2021,8849,8,1,1,Nepal,0
2021,8849,16,1,1,Nepal,0
2021,8849,9,1,1,Nepal,0
2021,8849,37,1,1,Nepal,1
2021,8849,10,1,1,Nepal,0
2021,8849,30,0,0,Nepal,0
2021,8849,13,1,1,Nepal,0
2021,8849,10,1,1,Nepal,0
2021,8849,7,1,1,Nepal,0
2021,8849,8,1,1,Nepal,0
2021,8849,10,1,1,Nepal,0
2021,8849,3,1,1,Nepal,0
2021,8849,4,1,1,Nepal,0
2021,8849,3,1,1,Nepal,0
2021,8849,6,1,1,Nepal,0
2021,8849,10,1,1,Nepal,0
2021,8849,3,1,1,Nepal,0
2021,8849,9,1,1,Nepal,0
2021,8849,8,1,1,Nepal,0
2021,8849,10,0,0,Nepal,0
2021,8849,4,1,1,Nepal,0
2021,8849,9,0,0,Nepal,0
2021,8849,1,1,1,Nepal,0
2021,8849,4,1,1,Nepal,0
2021,8849,2,1,1,Nepal,0
2021,8849,2,0,0,Nepal,0
2021,8849,4,0,0,Nepal,0
2021,8849,2,1,1,Nepal,0
2021,8849,3,1,1,Nepal,0
2021,8849,21,0,0,China,0
2021,7126,5,0,0,Nepal,0
2021,7126,2,0,0,Nepal,0
2021,6063,2,1,0,Nepal,0
2021,8516,0,1,1,Nepal,0
2021,8516,3,1,1,Nepal,0
2021,8516,2,1,1,Nepal,0
2021,8516,8,1,1,Nepal,0
2021,8516,4,1,1,Nepal,0
2021,8516,3,1,1,Nepal,0
2021,8516,2,1,1,Nepal,0
2021,8516,6,0,0,Nepal,0
2021,8516,4,1,1,Nepal,0
2021,8516,2,1,1,Nepal,0
2021,8516,8,0,0,Nepal,0
2021,8516,5,0,0,Nepal,0
2021,8516,3,0,0,Nepal,0
2021,8516,12,0,1,Nepal,0
2021,8516,3,0,0,Nepal,0
2021,8516,3,1,1,Nepal,0
2021,8516,2,1,1,Nepal,0
2021,8516,1,1,1,Nepal,0
2021,8516,1,0,0,Nepal,0
2021,8516,1,0,0,Nepal,0
2021,8516,15,1,1,Nepal,0
2021,8516,6,1,1,Nepal,0
2021,8516,4,0,1,Nepal,0
2021,8516,5,1,1,Nepal,0
2021,8485,8,0,1,Nepal,0
2021,8485,12,0,1,Nepal,0
2021,8485,2,0,0,Nepal,0
2021,8163,1,0,0,Nepal,0
2021,7138,5,1,0,Nepal,0
2021,7138,4,0,0,Nepal,0
2021,7134,8,0,0,Nepal,0
2021,6482,2,0,0,Nepal,0
2021,6920,1,0,0,Nepal,0
2021,6814,9,1,0,Nepal,0
2021,6814,15,1,0,Nepal,0
2021,6814,2,1,0,Nepal,0
2021,6814,6,1,1,Nepal,0
2021,6814,13,1,0,Nepal,0
2021,6814,30,1,0,Nepal,0
2021,6814,13,1,0,Nepal,0
2021,6814,4,1,0,Nepal,0
2021,6814,14,1,0,Nepal,0
2021,6814,7,1,0,Nepal,0
2021,6814,8,1,0,Nepal,0
2021,6814,2,1,0,Nepal,0
2021,6814,4,1,0,Nepal,0
2021,6814,16,1,0,Nepal,0
2021,6814,8,1,0,Nepal,0
2021,6814,14,1,1,Nepal,0
2021,6814,6,1,0,Nepal,0
2021,6814,4,1,0,Nepal,0
2021,6814,2,1,0,Nepal,0
2021,6814,7,1,0,Nepal,0
2021,6814,13,1,0,Nepal,0
2021,6814,2,1,0,Nepal,0
2021,6814,11,1,0,Nepal,0
2021,6814,5,1,0,Nepal,0
2021,6814,9,1,0,Nepal,0
2021,6814,8,1,0,Nepal,0
2021,7555,3,1,0,Nepal,0
2021,7152,8,0,0,Nepal,0
2021,7152,4,0,0,Nepal,0
2021,7152,12,0,0,Nepal,0
2021,7152,6,0,0,Nepal,0
2021,7321,2,1,0,Nepal,0
2021,7321,4,0,0,Nepal,0
2021,6257,8,0,0,Nepal,0
2021,6686,4,1,0,Nepal,0
2021,6423,8,1,0,Nepal,0
2021,8188,11,0,0,Nepal,0
2021,8188,8,0,0,Nepal,0
2021,8167,0,1,1,Nepal,0
2021,8167,24,1,1,Nepal,0
2021,8167,2,0,0,Nepal,0
2021,8167,4,1,1,Nepal,0
2021,8167,9,1,1,Nepal,0
2021,8167,1,1,0,Nepal,0
2021,8167,1,1,1,Nepal,0
2021,8167,4,1,1,Nepal,0
2021,6332,1,1,0,Nepal,0
2021,6966,6,1,0,Nepal,0
2021,8849,1,0,0,Nepal,0
2021,7074,4,0,0,Nepal,0
2021,7126,22,1,0,Nepal,0
2021,7126,8,1,0,Nepal,0
2021,7126,3,1,0,Nepal,0
2021,7126,15,1,0,Nepal,0
2021,7126,6,1,1,Nepal,0
2021,7126,1,1,0,Nepal,0
2021,7711,4,0,0,Nepal,0
2021,8586,3,0,1,Nepal,0
2021,8586,1,0,1,Nepal,0
2021,6783,8,0,0,Nepal,0
2021,6326,1,0,0,Nepal,0
2021,8163,0,0,1,Nepal,0
2021,8163,17,1,1,Nepal,0
2021,8163,35,0,1,Nepal,0
2021,8163,6,1,1,Nepal,0
2021,8163,6,0,1,Nepal,0
2021,8163,9,0,1,Nepal,0
2021,8163,10,0,1,Nepal,0
2021,8163,9,0,1,Nepal,0
2021,8163,13,0,1,Nepal,0
2021,8163,16,0,1,Nepal,0
2021,8163,6,0,1,Nepal,0
2021,8163,10,0,1,Nepal,0
2021,8163,4,0,1,Nepal,0
2021,8163,2,0,1,Nepal,0
2021,8163,9,0,1,Nepal,0
2021,8163,6,0,1,Nepal,0
2021,8163,12,0,1,Nepal,0
2021,8163,13,0,1,Nepal,0
2021,8163,5,0,1,Nepal,1
2021,8163,1,0,1,Nepal,0
2021,8163,5,0,1,Nepal,0
2021,8163,4,0,1,Nepal,0
2021,8163,5,0,0,Nepal,0
2021,8163,10,0,0,Nepal,0
2021,6528,8,1,0,Nepal,0
2021,6332,4,1,0,Nepal,0
2021,6070,4,0,0,Nepal,1
2021,6905,15,1,0,Nepal,0
2021,6500,2,1,0,Nepal,0
2021,6126,2,1,0,Nepal,0
2021,7246,2,1,1,Nepal,0
2021,7246,1,1,0,Nepal,0
2020,6468,2,1,0,Nepal,0
2021,6564,2,0,0,Nepal,0
2021,6215,8,1,0,Nepal,0
2021,6482,2,1,0,Nepal,0
2021,6482,6,1,0,Nepal,0
2021,6482,6,0,0,Nepal,0
2022,6814,15,1,0,Nepal,0
2022,6814,7,0,0,Nepal,0
2022,6814,7,1,0,Nepal,0
2022,6814,12,1,0,Nepal,0
2022,6814,15,1,0,Nepal,0
2022,6814,2,1,0,Nepal,0
2022,6814,10,1,0,Nepal,0
2022,6814,12,0,0,Nepal,0
2022,6814,10,0,0,Nepal,0
2022,6814,2,0,0,Nepal,0
2022,6814,1,1,0,Nepal,0
2022,5630,2,1,0,Nepal,0
2022,8091,13,1,1,Nepal,0
2022,8091,6,1,1,Nepal,0
2022,8091,7,1,1,Nepal,0
2022,7525,8,0,0,Nepal,0
2022,7152,17,0,0,Nepal,0
2022,7152,2,0,0,Nepal,0
2022,8167,12,1,1,Nepal,0
2022,8167,7,1,1,Nepal,1
2022,8167,3,0,1,Nepal,0
2022,8167,6,1,1,Nepal,0
2022,6332,4,1,0,Nepal,0
2022,6593,2,1,0,Nepal,0
2022,8849,0,1,1,Nepal,0
2022,8849,10,1,1,Nepal,0
2022,8849,18,1,1,Nepal,0
2022,8849,16,1,1,Nepal,0
2022,8849,16,1,1,Nepal,0
2022,8849,17,1,1,Nepal,0
2022,8849,3,1,1,Nepal,0
2022,8849,6,1,1,Nepal,0
2022,8849,19,1,1,Nepal,0
2022,8849,7,1,1,Nepal,0
2022,8849,6,1,1,Nepal,0
2022,8849,4,1,1,Nepal,0
2022,8849,5,1,1,Nepal,0
2022,8849,11,1,1,Nepal,0
2022,8849,15,1,1,Nepal,1
2022,8849,18,1,1,Nepal,0
2022,8849,9,1,1,Nepal,0
2022,8849,1,1,1,Nepal,0
2022,8849,19,1,1,Nepal,0
2022,8849,17,1,1,Nepal,0
2022,8849,17,1,1,Nepal,0
2022,8849,10,1,1,Nepal,0
2022,8849,7,1,1,Nepal,1
2022,8849,14,1,1,Nepal,0
2022,8849,14,1,1,Nepal,0
2022,8849,12,1,1,Nepal,0
2022,8849,8,1,1,Nepal,0
2022,8849,4,1,1,Nepal,0
2022,8849,9,1,1,Nepal,0
2022,8849,6,1,1,Nepal,0
2022,8849,5,1,1,Nepal,0
2022,8849,11,1,1,Nepal,0
2022,8849,4,1,1,Nepal,0
2022,8849,4,1,1,Nepal,0
2022,8849,2,1,1,Nepal,0
2022,8849,1,1,1,Nepal,0
2022,8849,3,1,1,Nepal,0
2022,8849,1,0,1,Nepal,0
2022,8849,1,0,0,Nepal,0
2022,8849,4,0,1,Nepal,0
