YEAR,REGION_FACTOR,PKNAME,SEASON_FACTOR,O2USED,NOHIRED,total_expeditions,success_count,member_deaths,hired_deaths,success_rate,death_rate
2020,Annapurna-Damodar-Peri,Himlung Himal,Autumn,False,False,2,1,0,0,50.0,0.0
2020,Kanjiroba-Far West,Rokapi,Winter,False,True,1,1,0,0,100.0,0.0
2020,Khumbu-Rolwaling-Makalu,Ama Dablam,Autumn,False,False,7,5,0,0,71.42857142857143,0.0
2020,Khumbu-Rolwaling-Makalu,Ama Dablam,Winter,False,False,1,1,0,0,100.0,0.0
2020,Khumbu-Rolwaling-Makalu,Baruntse,Autumn,False,False,1,1,0,0,100.0,0.0
2020,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,True,False,1,1,0,0,100.0,0.0
2020,Khumbu-Rolwaling-Makalu,Everest,Spring,True,False,3,3,0,0,100.0,0.0
2020,Khumbu-Rolwaling-Makalu,Luza,Winter,False,True,1,1,0,0,100.0,0.0
2020,Langtang-Jugal,Gyalzen Peak,Autumn,False,False,1,1,0,0,100.0,0.0
2020,Langtang-Jugal,Kyungka Ri 2,Winter,False,False,1,1,0,0,100.0,0.0
2020,Manaslu-Ganesh,Manaslu,Autumn,True,False,1,1,0,0,100.0,0.0
2020,Manaslu-Ganesh,Manaslu,Winter,False,False,1,0,0,0,0.0,0.0
2020,Manaslu-Ganesh,Manaslu,Winter,False,True,1,0,0,0,0.0,0.0
2021,Annapurna-Damodar-Peri,Annapurna I,Spring,False,True,1,0,0,0,0.0,0.0
2021,Annapurna-Damodar-Peri,Annapurna I,Spring,True,False,6,6,0,0,100.0,0.0
2021,Annapurna-Damodar-Peri,Annapurna III,Autumn,False,True,1,1,0,0,100.0,0.0
2021,Annapurna-Damodar-Peri,Gyajikang,Autumn,False,True,1,0,0,0,0.0,0.0
2021,Annapurna-Damodar-Peri,Himlung Himal,Autumn,False,False,5,5,0,0,100.0,0.0
2021,Annapurna-Damodar-Peri,Himlung Himal,Autumn,True,False,1,1,0,0,100.0,0.0
2021,Annapurna-Damodar-Peri,Himlung Himal,Spring,False,False,2,0,0,0,0.0,0.0
2021,Annapurna-Damodar-Peri,Panbari,Autumn,False,True,1,1,0,0,100.0,0.0
2021,Annapurna-Damodar-Peri,Purbung Himal,Autumn,False,True,1,1,0,0,100.0,0.0
2021,Annapurna-Damodar-Peri,Purkhung,Autumn,False,True,1,1,0,0,100.0,0.0
2021,Annapurna-Damodar-Peri,Tilicho,Spring,False,False,1,0,0,0,0.0,0.0
2021,Dhaulagiri-Mukut,Dhaulagiri I,Autumn,False,False,1,0,0,0,0.0,0.0
2021,Dhaulagiri-Mukut,Dhaulagiri I,Autumn,False,True,1,1,0,0,100.0,0.0
2021,Dhaulagiri-Mukut,Dhaulagiri I,Autumn,True,False,6,6,0,0,100.0,0.0
2021,Dhaulagiri-Mukut,Dhaulagiri I,Spring,False,False,4,0,0,0,0.0,0.0
2021,Dhaulagiri-Mukut,Dhaulagiri I,Spring,False,True,2,0,0,0,0.0,0.0
2021,Dhaulagiri-Mukut,Putha Hiunchuli,Autumn,False,False,1,1,0,0,100.0,0.0
2021,Dhaulagiri-Mukut,Putha Hiunchuli,Autumn,True,False,1,1,0,0,100.0,0.0
2021,Dhaulagiri-Mukut,Tukuche,Spring,False,False,1,0,0,0,0.0,0.0
2021,Kangchenjunga-Janak,Jannu,Autumn,False,False,1,0,0,0,0.0,0.0
2021,Kangchenjunga-Janak,Kangchenjunga,Autumn,True,False,2,0,0,0,0.0,0.0
2021,Kangchenjunga-Janak,Tengkoma,Autumn,False,False,1,1,0,0,100.0,0.0
2021,Kanjiroba-Far West,Mariyang,Autumn,False,True,1,1,0,0,100.0,0.0
2021,Kanjiroba-Far West,Surma-Sarovar North,Autumn,False,False,1,0,0,0,0.0,0.0
2021,Khumbu-Rolwaling-Makalu,Ama Dablam,Autumn,False,False,20,20,0,0,100.0,0.0
2021,Khumbu-Rolwaling-Makalu,Ama Dablam,Autumn,False,True,3,3,0,0,100.0,0.0
2021,Khumbu-Rolwaling-Makalu,Ama Dablam,Autumn,True,False,2,2,0,0,100.0,0.0
2021,Khumbu-Rolwaling-Makalu,Ama Dablam,Spring,False,False,3,3,0,0,100.0,0.0
2021,Khumbu-Rolwaling-Makalu,Ama Dablam,Winter,False,False,1,1,0,0,100.0,0.0
2021,Khumbu-Rolwaling-Makalu,Baruntse,Autumn,False,False,4,0,0,0,0.0,0.0
2021,Khumbu-Rolwaling-Makalu,Baruntse,Spring,False,False,3,0,0,0,0.0,0.0
2021,Khumbu-Rolwaling-Makalu,Baruntse,Spring,False,True,2,1,0,0,50.0,0.0
2021,Khumbu-Rolwaling-Makalu,Chamlang,Autumn,False,True,2,1,0,0,50.0,0.0
2021,Khumbu-Rolwaling-Makalu,Chekigo,Autumn,False,True,1,0,0,0,0.0,0.0
2021,Khumbu-Rolwaling-Makalu,Cho Oyu,Winter,False,False,2,0,0,0,0.0,0.0
2021,Khumbu-Rolwaling-Makalu,Chobuje,Autumn,False,True,1,1,0,0,100.0,0.0
2021,Khumbu-Rolwaling-Makalu,Cholatse,Autumn,False,True,1,1,0,0,100.0,0.0
2021,Khumbu-Rolwaling-Makalu,Dolma Khang,Autumn,False,False,1,1,0,0,100.0,0.0
2021,Khumbu-Rolwaling-Makalu,Everest,Spring,False,False,7,0,0,0,0.0,0.0
2021,Khumbu-Rolwaling-Makalu,Everest,Spring,False,True,2,0,0,0,0.0,0.0
2021,Khumbu-Rolwaling-Makalu,Everest,Spring,True,False,42,40,2,3,95.23809523809523,11.904761904761903
2021,Khumbu-Rolwaling-Makalu,Everest,Winter,False,True,1,0,0,0,0.0,0.0
2021,Khumbu-Rolwaling-Makalu,Kangchung Shar,Spring,False,True,1,1,0,0,100.0,0.0
2021,Khumbu-Rolwaling-Makalu,Kangtega,Autumn,False,True,1,0,0,0,0.0,0.0
2021,Khumbu-Rolwaling-Makalu,Langdung,Winter,False,True,1,0,0,0,0.0,0.0
2021,Khumbu-Rolwaling-Makalu,Lhotse,Spring,False,False,7,0,0,0,0.0,0.0
2021,Khumbu-Rolwaling-Makalu,Lhotse,Spring,True,False,17,15,0,0,88.23529411764706,0.0
2021,Khumbu-Rolwaling-Makalu,Makalu,Spring,False,False,1,0,0,0,0.0,0.0
2021,Khumbu-Rolwaling-Makalu,Makalu,Spring,True,False,2,0,0,0,0.0,0.0
2021,Khumbu-Rolwaling-Makalu,Omitso Go,Autumn,False,False,1,1,0,0,100.0,0.0
2021,Khumbu-Rolwaling-Makalu,Omoga Ri Chang,Autumn,False,True,1,0,3,0,0.0,300.0
2021,Khumbu-Rolwaling-Makalu,Pumori,Spring,False,False,1,1,0,0,100.0,0.0
2021,Khumbu-Rolwaling-Makalu,Pumori,Spring,False,True,1,0,0,0,0.0,0.0
2021,Khumbu-Rolwaling-Makalu,Tengi Ragi Tau South,Autumn,False,True,1,0,0,0,0.0,0.0
2021,Khumbu-Rolwaling-Makalu,Tengkangpoche,Autumn,False,True,3,2,0,0,66.66666666666666,0.0
2021,Khumbu-Rolwaling-Makalu,Tengkangpoche,Spring,False,True,1,0,0,0,0.0,0.0
2021,Langtang-Jugal,Dorje Lhakpa,Autumn,False,True,1,1,0,0,100.0,0.0
2021,Manaslu-Ganesh,Manaslu,Autumn,True,False,22,2,1,0,9.090909090909092,4.545454545454546
2021,Manaslu-Ganesh,Manaslu,Spring,False,False,1,0,0,0,0.0,0.0
2021,Manaslu-Ganesh,Manaslu,Winter,False,False,2,0,0,0,0.0,0.0
2022,Annapurna-Damodar-Peri,Annapurna I,Spring,True,False,3,3,0,0,100.0,0.0
2022,Annapurna-Damodar-Peri,Annapurna IV,Autumn,False,False,1,0,0,0,0.0,0.0
2022,Annapurna-Damodar-Peri,Annapurna IV,Autumn,False,True,1,1,0,0,100.0,0.0
2022,Annapurna-Damodar-Peri,Annapurna IV,Spring,False,False,1,0,0,0,0.0,0.0
2022,Annapurna-Damodar-Peri,Bhrikuti Shail,Autumn,False,False,1,1,0,0,100.0,0.0
2022,Annapurna-Damodar-Peri,Chulu West,Autumn,False,True,1,1,0,0,100.0,0.0
2022,Annapurna-Damodar-Peri,Gangapurna,Spring,False,True,1,0,0,0,0.0,0.0
2022,Annapurna-Damodar-Peri,Gyajikang,Autumn,False,False,1,0,0,0,0.0,0.0
2022,Annapurna-Damodar-Peri,Himlung Himal,Autumn,False,False,15,13,0,0,86.66666666666667,0.0
2022,Annapurna-Damodar-Peri,Himlung Himal,Spring,False,False,4,2,0,0,50.0,0.0
2022,Annapurna-Damodar-Peri,Khatung Khang,Autumn,False,False,1,1,0,0,100.0,0.0
2022,Annapurna-Damodar-Peri,Khatung Khang,Autumn,False,True,1,0,0,0,0.0,0.0
2022,Annapurna-Damodar-Peri,Lamjung Himal,Autumn,False,False,1,0,0,0,0.0,0.0
2022,Annapurna-Damodar-Peri,Nagoru Far East,Autumn,False,False,1,1,0,0,100.0,0.0
2022,Annapurna-Damodar-Peri,Phu Kang,Spring,False,False,1,1,0,0,100.0,0.0
2022,Annapurna-Damodar-Peri,Phungi,Autumn,False,True,1,0,0,0,0.0,0.0
2022,Annapurna-Damodar-Peri,Pokharkang,Autumn,False,False,1,0,0,0,0.0,0.0
2022,Annapurna-Damodar-Peri,Pokharkang,Spring,False,False,1,0,0,0,0.0,0.0
2022,Annapurna-Damodar-Peri,Ratna Chuli,Spring,False,True,2,0,0,0,0.0,0.0
2022,Annapurna-Damodar-Peri,Tilicho,Spring,False,False,1,0,0,0,0.0,0.0
2022,Dhaulagiri-Mukut,Dhaulagiri I,Autumn,False,False,2,0,0,0,0.0,0.0
2022,Dhaulagiri-Mukut,Dhaulagiri I,Autumn,False,True,1,0,0,0,0.0,0.0
2022,Dhaulagiri-Mukut,Dhaulagiri I,Spring,True,False,4,3,1,0,75.0,25.0
2022,Dhaulagiri-Mukut,Dhaulagiri I,Winter,False,True,1,0,0,0,0.0,0.0
2022,Dhaulagiri-Mukut,Dhaulagiri II,Autumn,False,True,1,0,0,0,0.0,0.0
2022,Dhaulagiri-Mukut,Dogari,Autumn,False,False,1,0,0,0,0.0,0.0
2022,Dhaulagiri-Mukut,Putha Hiunchuli,Autumn,False,False,1,0,0,0,0.0,0.0
2022,Dhaulagiri-Mukut,Putha Hiunchuli,Spring,False,False,1,1,0,0,100.0,0.0
2022,Dhaulagiri-Mukut,Sita Chuchura,Autumn,False,True,2,0,0,0,0.0,0.0
2022,Kangchenjunga-Janak,Jannu,Autumn,False,True,1,0,0,0,0.0,0.0
2022,Kangchenjunga-Janak,Jannu East,Autumn,False,True,1,0,0,0,0.0,0.0
2022,Kangchenjunga-Janak,Kangchenjunga,Spring,False,True,1,1,0,0,100.0,0.0
2022,Kangchenjunga-Janak,Kangchenjunga,Spring,True,False,9,9,1,0,100.0,11.11111111111111
2022,Kangchenjunga-Janak,Kirat Chuli,Summer,False,True,1,0,0,0,0.0,0.0
2022,Kangchenjunga-Janak,Langpo South,Autumn,False,True,1,1,0,0,100.0,0.0
2022,Kangchenjunga-Janak,Sat Peak,Autumn,False,True,1,0,0,0,0.0,0.0
2022,Kanjiroba-Far West,Chandi Himal,Autumn,False,True,1,0,0,0,0.0,0.0
2022,Kanjiroba-Far West,Lachama Chuli,Autumn,False,True,1,0,0,0,0.0,0.0
2022,Kanjiroba-Far West,Lachama North,Autumn,False,True,1,0,0,0,0.0,0.0
2022,Kanjiroba-Far West,Surma-Sarovar North,Autumn,False,True,1,0,0,0,0.0,0.0
2022,Khumbu-Rolwaling-Makalu,Ama Dablam,Autumn,False,False,34,34,1,1,100.0,5.88235294117647
2022,Khumbu-Rolwaling-Makalu,Ama Dablam,Autumn,False,True,4,4,0,0,100.0,0.0
2022,Khumbu-Rolwaling-Makalu,Ama Dablam,Autumn,True,False,1,1,0,0,100.0,0.0
2022,Khumbu-Rolwaling-Makalu,Ama Dablam,Spring,False,False,9,6,0,0,66.66666666666666,0.0
2022,Khumbu-Rolwaling-Makalu,Ama Dablam,Spring,False,True,2,1,0,0,50.0,0.0
2022,Khumbu-Rolwaling-Makalu,Ama Dablam,Winter,False,False,1,0,0,0,0.0,0.0
2022,Khumbu-Rolwaling-Makalu,Amphu Gyabjen,Spring,False,True,1,1,0,0,100.0,0.0
2022,Khumbu-Rolwaling-Makalu,Baruntse,Autumn,False,False,6,2,0,0,33.33333333333333,0.0
2022,Khumbu-Rolwaling-Makalu,Baruntse,Spring,False,False,1,0,0,0,0.0,0.0
2022,Khumbu-Rolwaling-Makalu,Baruntse,Spring,False,True,1,0,0,0,0.0,0.0
2022,Khumbu-Rolwaling-Makalu,Chekigo,Autumn,False,True,1,0,0,0,0.0,0.0
2022,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,False,False,2,0,0,0,0.0,0.0
2022,Khumbu-Rolwaling-Makalu,Cho Oyu,Spring,True,False,1,1,0,0,100.0,0.0
2022,Khumbu-Rolwaling-Makalu,Cho Oyu,Winter,False,False,1,0,0,0,0.0,0.0
2022,Khumbu-Rolwaling-Makalu,Cholatse,Autumn,False,True,1,0,0,0,0.0,0.0
2022,Khumbu-Rolwaling-Makalu,Chukyima Go,Winter,False,True,1,0,0,0,0.0,0.0
2022,Khumbu-Rolwaling-Makalu,Chumbu,Autumn,False,True,1,1,0,0,100.0,0.0
2022,Khumbu-Rolwaling-Makalu,Dolma Khang,Autumn,False,False,1,1,0,0,100.0,0.0
2022,Khumbu-Rolwaling-Makalu,Dolma Khang,Spring,False,True,1,1,0,0,100.0,0.0
2022,Khumbu-Rolwaling-Makalu,Everest,Autumn,False,False,1,0,0,0,0.0,0.0
2022,Khumbu-Rolwaling-Makalu,Everest,Spring,False,False,1,0,0,0,0.0,0.0
2022,Khumbu-Rolwaling-Makalu,Everest,Spring,True,False,41,39,2,1,95.1219512195122,7.317073170731707
2022,Khumbu-Rolwaling-Makalu,Hongku,Autumn,False,True,1,0,0,0,0.0,0.0
2022,Khumbu-Rolwaling-Makalu,Hongku Chuli,Autumn,False,True,1,0,0,0,0.0,0.0
2022,Khumbu-Rolwaling-Makalu,Kangchung Nup,Spring,False,True,1,1,0,0,100.0,0.0
2022,Khumbu-Rolwaling-Makalu,Lhotse,Spring,False,False,1,0,0,1,0.0,100.0
2022,Khumbu-Rolwaling-Makalu,Lhotse,Spring,True,False,19,19,0,0,100.0,0.0
2022,Khumbu-Rolwaling-Makalu,Lunag Ri,Autumn,False,True,1,0,0,0,0.0,0.0
2022,Khumbu-Rolwaling-Makalu,Makalu,Spring,True,False,6,6,0,0,100.0,0.0
2022,Khumbu-Rolwaling-Makalu,Metalung,Autumn,False,False,1,1,0,0,100.0,0.0
2022,Khumbu-Rolwaling-Makalu,Nuptse,Spring,False,False,1,0,0,0,0.0,0.0
2022,Khumbu-Rolwaling-Makalu,Nuptse,Spring,True,False,2,0,0,0,0.0,0.0
2022,Khumbu-Rolwaling-Makalu,Nuptse East I,Spring,False,True,1,0,0,0,0.0,0.0
2022,Khumbu-Rolwaling-Makalu,Panalotapa,Autumn,False,False,1,0,0,0,0.0,0.0
2022,Khumbu-Rolwaling-Makalu,Pumori,Autumn,False,False,1,0,0,0,0.0,0.0
2022,Khumbu-Rolwaling-Makalu,Pumori,Autumn,False,True,1,0,0,0,0.0,0.0
2022,Khumbu-Rolwaling-Makalu,Ripimo Shar,Autumn,False,True,1,1,0,0,100.0,0.0
2022,Khumbu-Rolwaling-Makalu,Shershon,Autumn,False,False,1,0,0,0,0.0,0.0
2022,Khumbu-Rolwaling-Makalu,Tengi Ragi Tau South,Autumn,False,True,1,1,0,0,100.0,0.0
2022,Khumbu-Rolwaling-Makalu,Tengkangpoche,Autumn,False,True,1,0,0,0,0.0,0.0
2022,Khumbu-Rolwaling-Makalu,Thamserku,Autumn,False,False,1,0,0,0,0.0,0.0
2022,Langtang-Jugal,Bhemdang Ri,Autumn,False,True,1,0,0,0,0.0,0.0
2022,Langtang-Jugal,Dorje Lakpa II,Spring,False,True,1,1,0,0,100.0,0.0
2022,Langtang-Jugal,Ganchenpo,Autumn,False,False,1,1,0,0,100.0,0.0
2022,Langtang-Jugal,Ganchenpo,Autumn,False,True,1,0,0,0,0.0,0.0
2022,Langtang-Jugal,Gyalzen Peak,Autumn,False,False,1,0,0,0,0.0,0.0
2022,Langtang-Jugal,Langtang Lirung,Autumn,False,True,2,0,0,0,0.0,0.0
2022,Manaslu-Ganesh,Manaslu,Autumn,False,False,14,3,0,1,21.428571428571427,7.142857142857142
2022,Manaslu-Ganesh,Manaslu,Autumn,False,True,3,0,0,0,0.0,0.0
2022,Manaslu-Ganesh,Manaslu,Autumn,True,False,23,20,1,1,86.95652173913044,8.695652173913043
2022,Manaslu-Ganesh,Manaslu,Autumn,True,True,1,1,0,0,100.0,0.0
2022,Manaslu-Ganesh,Manaslu,Winter,True,False,1,1,0,0,100.0,0.0
2022,Manaslu-Ganesh,Saula,Spring,False,True,1,1,0,0,100.0,0.0
2023,Annapurna-Damodar-Peri,Annapurna I,Spring,False,True,2,1,0,0,50.0,0.0
2023,Annapurna-Damodar-Peri,Annapurna I,Spring,True,False,6,6,1,0,100.0,16.666666666666664
2023,Annapurna-Damodar-Peri,Annapurna I,Winter,False,False,1,0,0,0,0.0,0.0
2023,Annapurna-Damodar-Peri,Annapurna IV,Autumn,True,False,1,1,0,0,100.0,0.0
2023,Annapurna-Damodar-Peri,Bhrikuti,Spring,False,False,1,1,0,0,100.0,0.0
2023,Annapurna-Damodar-Peri,Bhrikuti,Summer,False,True,1,0,0,0,0.0,0.0
2023,Annapurna-Damodar-Peri,Himlung Himal,Autumn,False,False,14,12,0,0,85.71428571428571,0.0
2023,Annapurna-Damodar-Peri,Himlung Himal,Autumn,True,False,1,1,0,0,100.0,0.0
2023,Annapurna-Damodar-Peri,Himlung Himal,Spring,False,False,3,2,0,0,66.66666666666666,0.0
2023,Annapurna-Damodar-Peri,Hulang Go,Autumn,False,True,1,1,0,0,100.0,0.0
2023,Annapurna-Damodar-Peri,Khamjung,Autumn,False,False,1,0,0,0,0.0,0.0
2023,Annapurna-Damodar-Peri,Khamjung,Winter,False,True,1,1,0,0,100.0,0.0
2023,Annapurna-Damodar-Peri,Nemjung,Autumn,False,False,1,0,0,0,0.0,0.0
2023,Annapurna-Damodar-Peri,Nemjung,Autumn,False,True,1,0,0,0,0.0,0.0
2023,Annapurna-Damodar-Peri,Ratna Chuli,Autumn,False,True,1,1,0,0,100.0,0.0
2023,Annapurna-Damodar-Peri,Ratna Chuli,Spring,False,False,1,0,0,0,0.0,0.0
2023,Annapurna-Damodar-Peri,Tilicho,Autumn,False,True,1,0,0,0,0.0,0.0
2023,Dhaulagiri-Mukut,Dhaulagiri I,Autumn,False,False,1,1,0,0,100.0,0.0
2023,Dhaulagiri-Mukut,Dhaulagiri I,Autumn,False,True,1,0,1,0,0.0,100.0
2023,Dhaulagiri-Mukut,Dhaulagiri I,Autumn,True,False,2,2,0,0,100.0,0.0
2023,Dhaulagiri-Mukut,Dhaulagiri I,Spring,False,True,1,1,0,0,100.0,0.0
2023,Dhaulagiri-Mukut,Dhaulagiri I,Spring,True,False,5,4,0,0,80.0,0.0
2023,Dhaulagiri-Mukut,Putha Hiunchuli,Autumn,False,False,4,3,0,0,75.0,0.0
2023,Dhaulagiri-Mukut,Tukuche,Autumn,False,False,1,0,0,0,0.0,0.0
2023,Kangchenjunga-Janak,Anidesh Chuli,Autumn,False,False,1,0,0,0,0.0,0.0
2023,Kangchenjunga-Janak,Drohmo,Autumn,False,True,1,0,0,0,0.0,0.0
2023,Kangchenjunga-Janak,Jannu,Autumn,False,True,1,1,0,0,100.0,0.0
2023,Kangchenjunga-Janak,Jannu East,Autumn,False,True,1,0,0,0,0.0,0.0
2023,Kangchenjunga-Janak,Kabru South,Spring,False,True,1,1,0,0,100.0,0.0
2023,Kangchenjunga-Janak,Kangchenjunga,Spring,True,False,5,4,1,0,80.0,20.0
2023,Kangchenjunga-Janak,Kyabura,Autumn,False,False,1,1,0,0,100.0,0.0
2023,Kangchenjunga-Janak,Phole,Autumn,False,True,1,0,0,0,0.0,0.0
2023,Kangchenjunga-Janak,Sharphu VI,Autumn,False,True,1,0,0,0,0.0,0.0
2023,Kangchenjunga-Janak,Tengkoma,Autumn,False,True,1,0,0,0,0.0,0.0
2023,Kanjiroba-Far West,Chandi Himal,Autumn,False,True,1,0,0,0,0.0,0.0
2023,Kanjiroba-Far West,Chandi Himal,Spring,False,False,1,1,0,0,100.0,0.0
2023,Kanjiroba-Far West,Raksha Urai,Autumn,False,True,1,0,0,0,0.0,0.0
